description,bathrooms,construction_status,built_up_area,bedrooms,furnishing,carpet_area,price,location
Puliyarakonam800sq3.500cent7,2,Ready to Move,800,2,Furnished,100,2800000,"Vattiyoorkavu, Thiruvananthapuram, Kerala"
5cent2300sq4bhk,4,Ready to Move,2300,4,Furnished,100,6500000,"Poojappura, Thiruvananthapuram, Kerala"
4cent1800sq3bhk,4,Ready to Move,1800,3,Furnished,100,5500000,"Thirumala, Thiruvananthapuram, Kerala"
3cent800sq2bhk,2,Ready to Move,800,2,Furnished,100,2800000,"Vattiyoorkavu, Thiruvananthapuram, Kerala"
3.500cent800sq3bhk,2,Ready to Move,800,2,Furnished,100,2800000,"Vattiyoorkavu, Thiruvananthapuram, Kerala"
"Shree Shashwat a land mark project in Mira Road is getting an extension in the name of Shashwat 2 in pleasent Park, Mira Road east. This project is with all latest amenities as below,",2,Under Construction,1050,2,Semi-Furnished,666,8925000,"Mira Road, Mumbai, Maharashtra"
"This is ready to move in 3 BHK flat for sale in Morabadi, Ranchi. The property is new. It is a part of Pankaj Apartment. The apartment is well ventilated with 2 balcony and 2 bathrooms. This is unfurnished west facing property. The width of the facing the road is 700 meters. It also has convenience features like visitor parking, lift.",2,Ready to Move,1471,3,Unfurnished,1176,4800000,"Morabadi, Ranchi, Jharkhand"
LIFT NR COLLEGE NR MIRA BHAYANDER RD MIRA RD EAST,1,Ready to Move,600,1,Unfurnished,480,4800000,"Mira Road East, Mumbai, Maharashtra"
<>RERA APPROVED PROJECT,3,Ready to Move,1400,3,Semi-Furnished,1300,4200000,"Ambala Chandigarh Expressway, Zirakpur, Punjab"
"2 & 3 BHK PREMIUM FLAT, SPACIOUS FLAT",2,Ready to Move,1060,2,Semi-Furnished,625,7600000,"Mira Road East, Mumbai, Maharashtra"
2 BHK Flat available for sell in Parshwanath Atlantis Park.,2,Ready to Move,1145,2,Semi-Furnished,845,3200000,"Chandkheda, Ahmedabad, Gujarat"
"PRIME LOACTION, OC RECD",2,Ready to Move,600,1,Unfurnished,380,4500000,"Mira Road East, Mumbai, Maharashtra"
Furnished 3 BHK Pent House available for sell in Chandkheda,3,Ready to Move,1377,3,Furnished,218,7500000,"Chandkheda, Ahmedabad, Gujarat"
"A beautiful wide drawing and dining room with false ceiling,",2,Ready to Move,580,2,Semi-Furnished,560,2800000,"Uttam Nagar, Delhi, Delhi"
"Furnished 2BHK Flat available for sell in Aastha Prime, Chandkheda",2,Ready to Move,1143,2,Furnished,688,4200000,"Chandkheda, Ahmedabad, Gujarat"
"Fortview is a full fledged gated community at Hydershakote,Narsingi offering affordable 2 BHK and 3 BHK flats.",2,Under Construction,1470,2,Unfurnished,1170,5584530,"Bandlaguda, Hyderabad, Telangana"
"Corner flat, gated community, wardrobes in rooms, modular kitchen. The house is semi furnished. Also has a tv stand in the living room.",2,Ready to Move,656,2,Semi-Furnished,450,2200000,"Attibele, TVS Plant Hosur, Tamil Nadu"
With all good sourroundings ready to check in for comfortable living,3,Ready to Move,1950,3,Furnished,1650,4500000,"Tadigadapa, Vijayawada, Andhra Pradesh"
3 BHK flat for sale with car parking in NAWADA.,2,Ready to Move,760,3,Semi-Furnished,740,4300000,"Uttam Nagar, Delhi, Delhi"
2 BHK Flat for Sale in Ravi Park in Satav Nagar Hadapsar Pune 411028.,2,Ready to Move,900,2,Unfurnished,675,4200000,"Hadapsar, Pune, Maharashtra"
This property is JDA & RERA Approved Property,2,Ready to Move,850,2,Furnished,700,2499000,"Ajmer Road, Jaipur, Rajasthan"
Plot No.9 and 10 yaksha street VGN garden Temple View apartment THIRUNEERMALAI,2,Ready to Move,858,2,Unfurnished,858,3000000,"Thiruneermalai, Chennai, Tamil Nadu"
"Hiya Developers are ready for their latest real estate project Regency at Bhayandar, in Mumbai. It is in the northern part of the city. The housing apartments are chiefly designed, keeping in",1,Under Construction,695,1,Unfurnished,350,5490500,"Mira Road East, Mumbai, Maharashtra"
2 BHK builder floor available for sale in Mohan Garden near Nawada metro station,2,Ready to Move,550,2,Unfurnished,549,2700000,"Uttam Nagar, Delhi, Delhi"
"Club House, Multipurpose Court, Squash Court, Cafeteria, Library, Crèche, Swimming pool, Kids pool & Ladies Pool, Meeting room, Table tennis, Indoor game room & Pool room, Steam, Sauna & Spa, Gymnasium, Guest rooms, Mini theatre (Screening), Banquet Hall & Multipurpose deck",2,Under Construction,705,1,Semi-Furnished,502,5925000,"Mira Road, Mumbai, Maharashtra"
Prime location,2,Under Construction,370,1,Unfurnished,260,4500000,"Mira Road East, Mumbai, Maharashtra"
4 BHK Flat Available For Sale At New Alkapuri,4,Ready to Move,2705,4,Unfurnished,1893,8500000,"New Alkapuri, Vadodara, Gujarat"
3 BHK Flat Available For sale At Vasna Bhayli,3,Ready to Move,1650,3,Unfurnished,1155,5000000,"Vasna Bhayli Main Road, Vadodara, Gujarat"
"FLAT NO. T-304, 3RD FLOOR,PLOT NO. 82-B, 83-B,NR. NEW SABJI MANDI,AKBARPUR,462001BHOPALBHOPALMADHYA PRADESHINDIA",2,Ready to Move,500,2,Furnished,450,600000,"Naveen Nagar, Bhopal, Madhya Pradesh"
"GLS South Avenue is located at sector 92 Gurugram Haryana . 2BHK just @23 lakh only . The sceme is under PMAY 2.67 lakh Subcidy 90% loan available. Location near by Share Home , Raheja Navodhya , DLF projects , School , collage around 3km Radius, Propose metro. #DwarkaExpressway #Afordablemainghar #DLFnewtownheight #PMAY",2,New Launch,800,2,Semi-Furnished,575,2300000,"IMT Manesar, Gurgaon, Haryana"
"Flat No 07,Second Floor, Chamunda Square Apartment, Balkrishna Nagar, Pawar Mala, Rto Peth Road, Nashik Rto Peth Road Nashik Maharashtra - 422101, Project Name: Donde Santosh Kiran , Type: Flat, Area: 560,",1,Ready to Move,560,1,Furnished,400,1002081,"Makhamalabed Gaothan, Nashik, Maharashtra"
Sashank Amogha under construction project near Jakkur possession in the month of May 2021..,2,Under Construction,1235,2,Unfurnished,865,4691765,"Jakkur, Bengaluru, Karnataka"
Sashank Aadya uniquely urban for ultimate lifestyle..,2,Under Construction,1375,2,Unfurnished,963,4950000,"Vidyaranyapura, Bengaluru, Karnataka"
Launching Pune Largest Integrated Mixed-Use Development With 4 BHK Smart Residences In Pimpri-Chinchwad.,4,Under Construction,1720,4,Unfurnished,1590,16200000,"Pimpri Chinchwad, Pune, Maharashtra"
"Properties for Sale in Noida Extension, Noida",2,Under Construction,995,2,Unfurnished,600,3720003,"Tilpata Karanwas, Greater Noida, Uttar Pradesh"
Direct owner flat sale 45laks East face 1140sqr ft. Car parking 24hrs water bore and manjeera CCTV. Lift power backspace also ready move cl me.,2,Ready to Move,1140,2,Unfurnished,1140,4500000,"Bowenpally, Hyderabad, Telangana"
"Mahira Group specializes in general construction projects. We are at ease handling individual bungalows and just as comfortable when we take on huge housing projects involving residential complex. Operating mainly in North India and particularly around Gurgaon & Delhi, we have taken on projects involving design, planning, construction of educational institutions and hotels on a turnkey basis. Our service starts with concept and goes on to planning, obtaining permissions, coordinating construction, managing finishing and interior design and finally handing over a project in its finished form to the owner.",2,Under Construction,1020,2,Semi-Furnished,750,2000000,"Sector 95, Gurgaon, Haryana"
Sashank Aadya 2 and 3 BHK urban lifestyle flats..,2,Under Construction,1350,2,Unfurnished,945,4860000,"Vidyaranyapura, Bengaluru, Karnataka"
"MRG World The Meridian, the second affordable housing project by MRG World Group that is copious with enlightened features that are simply surreal in sector 89, Gurgaon. Besides, MRG World The Meridian Affordable sector 89 Gurgaon spread in 5.52 acres with ample greenery in the premises and 50 % open space to enjoy your leisure moments on Pataudi Road. The 2 BHK apartments in different layouts and sizes provided in modern structure and elegant designs. The pricing of homes is fixed (i.e.₹4000/sqft for carpet area & ₹500/sqft for the balcony area) under the Huda Affordable Housing Policy.",2,Under Construction,1020,2,Semi-Furnished,620,2316000,"Sector 89, Gurgaon, Haryana"
ROF Ananda Affordable Housing Sector 95 Gurgaon- Upcoming HUDA Govt. affordable housing policy scheme project.,1,Under Construction,700,1,Semi-Furnished,450,1415000,"Sector 95, Gurgaon, Haryana"
The location advantages of living close to NH-8 and SPR can’t be denied and you will be amazed to know that the features of the society will be nowhere less than any luxurious society.,2,Under Construction,1150,2,Semi-Furnished,636,1920000,"Sector 78, Gurgaon, Haryana"
"GLS Infratech launching new 2 BHK Apartments -Arawali Homes in Sector 4 Sohna Affordable Housing Policy 2013. Arawali Homes. It is considered under the Huda Affordable Housing Scheme 2013 and is positively wanted to provide for you world class living background right in the most creating private and business center point of Sohna Gurgaon. Sector 4 is one of the new areas around the Sohna and Gurgaon Road, that are a piece of Sohna Master Plan 2031, Sohna expert arrangement looked as Gurgaon Extension which officially joined with Sohna Road and an alternate proposed 60 Mtr Wide Sector Road, which specifically interface with Golf Course Extension Road and an alternate Proposed Metro Station.",2,New Launch,1020,3,Semi-Furnished,750,2359000,"Sohna Road, Gurgaon, Haryana"
Welcome To Zara Affordable Housing Sector 112 Gurgaon,2,Under Construction,950,2,Semi-Furnished,590,2185000,"Sector 112, Gurgaon, Haryana"
Specification,2,Ready to Move,950,2,Semi-Furnished,500,2200000,"Sector 99, Gurgaon, Haryana"
"Purva Silversands, an escape from Punes busy life, is the only beach-themed housing project in Mundhwa, which will encourage an active lifestyle by providing top of the range amenities encompassing basketball post, beach volleyball, 24-hours of power backup, club house, multi-gymnasium, intercom, play area, jogging tracks, security, tennis court, swimming pool, rain water harvesting, library, health facilities, community hall, broadband internet, badminton court, cafeteria, garden, indoor games, maintenance staff, recreation facilities, and meditation zone.Spread over 0.77 acres in the heart of Pune, this property will enjoy close proximity to the near future business hubs along with Pune Junction Railway Station at 9 kms, Pune International Airport at 10 kms, Hinjewadi at 25 kms, and Swargate at a distance of 15 kms. Mundhwa, emerging as one of the prime residential feeder locations, is situated towards the east of Pune, and is in close proximity of technology hubs like Magarpatta and Kharadi",2,Under Construction,1034,2,Unfurnished,795,8000000,"Mundhwa, Pune, Maharashtra"
3 Bhk 1st floor flat available in Vaishali,2,Ready to Move,1205,3,Semi-Furnished,1142,5028000,"Vaishali, Ghaziabad, Uttar Pradesh"
"Gada Anutham has all the basic facilities along with additional amenities like a community hall, children's play area, indoor games area and rainwater harvesting.",2,Under Construction,895,2,Unfurnished,689,7600000,"Hadapsar, Pune, Maharashtra"
Lift,2,Ready to Move,925,2,Semi-Furnished,785,2349000,"Sector 1 Noida extension, Greater Noida, Uttar Pradesh"
"No Brokerage. Uniqe Impress is project by Unique Shanti Builders & Developers. Its master Bedroom flat and spacious,",2,Under Construction,740,1,Semi-Furnished,429,6384000,"Mira Road, Mumbai, Maharashtra"
Direct Deal With BUILDERS,1,Ready to Move,680,1,Furnished,600,1490000,"Sector 127, Mohali, Punjab"
1bhk for sale in Asmita revera near STATION with GARDEN,1,Ready to Move,400,1,Unfurnished,310,3700000,"Mira Road East, Mumbai, Maharashtra"
"Premium housing project Silver Spring is launched by well-known real estate developer Anjani Infra at Bopal, Ahmadabad, The project will be spread in an area of 2.30 acres and is offering beautiful and comfortable living in 3 BHK apartments exclusively with the Saleable area in the range of 1825 Sq.Ft. to 2160 Sq Ft with all Amenities which are important for a comfortable & luxurious living like 3 Basement Car Parking, CCTV Cameras, with closed car parking areas, Power backup, Swimming pool, Children play areas, Theatre, Multipurpose court, Banquet hall and etc, also there is regular water supply, Electricity and others. The Building Specifications included in the apartments are vitrified tiles flooring in living room, bedrooms and kitchen, anti-skid ceramic tiles flooring in bathrooms and balconies, Acrylic paint on exterior walls, Ceramic tiles on kitchen walls, Glazed tiles up to lintel level on bathroom walls, putty on interior walls, granite platform with stainless steel sink in the kitchen, aluminum sliding windows, concealed copper wiring, modular switches, a decorative door at the entrance and RCC framed structure. The Developer Anjani Infra can be contacted for purchase of apartment at Silver Springs.",3,Under Construction,1825,3,Unfurnished,1058,7847500,"Bopal, Ahmedabad, Gujarat"
Mahamangala Shree Residency,1,Ready to Move,530,1,Semi-Furnished,378,1192500,"Mr 11 Road, Indore, Madhya Pradesh"
Super built- up=862sq.ft{2Bhk},2,Ready to Move,862,2,Furnished,850,3500000,"Kota, Raipur, Chhattisgarh"
This is a Single Building New Projects,2,Ready to Move,1090,2,Semi-Furnished,700,8500000,"Mira Road East, Mumbai, Maharashtra"
Semi furnished...,2,Ready to Move,1350,2,Semi-Furnished,1200,2390000,"Sector 125, Mohali, Punjab"
"Property is well maintained, market 15 minutes, railway station 15 minutes, well road connectivity...",2,Ready to Move,65,2,Semi-Furnished,50,999000,"Kuber Nagar Bungalow Area, Ahmedabad, Gujarat"
LABH PROPERTY LP ID: 6243,2,Ready to Move,1000,2,Semi-Furnished,750,2800000,"Harni Road, Vadodara, Gujarat"
Measuring 1295 Sq ft with 505 Sq ft UDS Residential 1flr flat with All Amenties inside,2,Ready to Move,1295,2,Furnished,0,4200000,"Sipcot Industrial Siruseri, Chennai, Tamil Nadu"
"This is ready to move in 3 BHK flat for sale in Morabadi, Ranchi. The property is new. It is a part of Pankaj Apartment. The apartment is well ventilated with 2 balcony and 2 bathrooms. This is unfurnished east facing property. The width of the facing the road is 700 meters. It also has convenience features like visitor parking, lift.",2,Ready to Move,1562,3,Unfurnished,1249,5000000,"Morabadi, Ranchi, Jharkhand"
Prime Features,1,Under Construction,850,1,Semi-Furnished,550,1500000,"Sector 95, Gurgaon, Haryana"
1 BHK Flat for Sale in Ravi Park in Handewadi Road Hadapsar Pune 411028.,1,Ready to Move,645,1,Semi-Furnished,484,3000000,"Hadapsar, Pune, Maharashtra"
"SHREE GAJANAN APPARTMENT, SAINATH NAGAR, VIRAR (EAST)",1,Ready to Move,350,1,Unfurnished,250,1300000,"Virar West, Thane, Maharashtra"
"Amenities like,",2,Under Construction,1011,2,Unfurnished,778,6000000,"Keshav Nagar, Pune, Maharashtra"
"Premium 3 bhk unfurnished flat available for sale in Pristine Pronext, wakad.",3,New Launch,1336,3,Unfurnished,990,10000000,"Wakad, Pune, Maharashtra"
"Premium 2 bhk unfurnished flat available for sale in Pristine pronext, Wakad.",2,Under Construction,1205,2,Unfurnished,893,9200000,"Wakad, Pune, Maharashtra"
"Premium 2 bhk flat available for sale in Pristine Pronext, wakad.",2,Under Construction,1078,2,Unfurnished,799,8400000,"Wakad, Pune, Maharashtra"
Selling flat at Jadavpur Vidyasagar area with garage 2400000 lac,2,Ready to Move,750,3,Semi-Furnished,700,2400000,"Vidyasagar, Kolkata, West Bengal"
"Sonam Indraprasth in Bhayander East, Mira Road And Beyond by Sonam Builders is a residential project.",2,Under Construction,775,2,Unfurnished,775,13400000,"Bhayandar East, Mumbai, Maharashtra"
Rental 3 bhk falat,3,Ready to Move,1600,3,Semi-Furnished,1400,15000,"Sawedi State Bank Colony, Ahmadnagar, Maharashtra"
I would like to take this opportunity to thank you for showing interest in our project . We truly value your initiative and look forward to assisting you in every possible way to ensure your home buying experience is pleasurable.,2,Under Construction,1286,3,Unfurnished,1286,5000000,"Kelambakkam, Chennai, Tamil Nadu"
ગાર્ડન લોકેશન,1,Ready to Move,670,1,Unfurnished,436,1451000,"Dindoli Om Nagar Society, Surat, Gujarat"
"Sonam Indraprasth, located in Mira Road East, Mumbai, offers apartments. It hosts amenities such as a gymnasium, a swimming pool, children play area, clubhouse, a cafeteria, landscaped gardens, indoor games, car parking, lift, etc. Situated in the north of Mumbai, Mira Road East is a part of Mumbai Metropolitan Region. The locality boasts of seamless connectivity to Mumbai, Thane and Navi Mumbai, as well as business hubs such as Bandra Kurla Complex and Lower Parel",2,Under Construction,1039,3,Unfurnished,1039,16000000,"Bhayandar East, Mumbai, Maharashtra"
"Sonam Indraprasth price ranges from 1.34 Cr to 1.53 Cr. Sonam Indraprasth offers facilities such as Gymnasium and Lift. It also has amenities like Badminton court, Lawn tennis court and Swimming pool. The project has indoor activities such as Pool table and Skating rink. It also offers services like Garbage disposal and Library. It also offers Car parking.",2,Under Construction,952,3,Unfurnished,952,14500000,"Bhayandar East, Mumbai, Maharashtra"
"Sonam Indraprasth by Sonam Builders situated in Mira Bhayandar, Mumbai. This project is where your experience of fine living comes true.",2,Under Construction,775,2,Unfurnished,775,13400000,"Bhayandar East, Mumbai, Maharashtra"
"Sonam Indraprasth in Bhayander (East), Mira Road And Beyond by Sonam Builders is a residential project. The project offers Apartment with perfect combination of contemporary architecture and features to provide comfortable living. The Apartment are of the following configurations: 1BHK, 2BHK and 3BHK The size of the Apartment ranges in between 15.0 Sq. mt and 158.49 Sq. mt",2,Under Construction,776,2,Unfurnished,776,13800000,"Bhayandar East, Mumbai, Maharashtra"
FEATURES,2,Ready to Move,640,1,Unfurnished,640,5650000,"Mira Road East, Mumbai, Maharashtra"
"Swagat Heights – A residential project offers exclusive 1 BHK and 2 BHK apartments at an affordable price. It an address that is an oasis of calm, peace and magnificence in the hustle-bustle of the city. Your home will now serve as a perfect getaway after a tiring day at work, as the ambiance of Swagat Heights will make you forget that you are in the heart of the city. Swagat Heights brings a lifestyle that befits royalty with the batch of magnificent apartments at Mira Road. These residential apartments in Mira Road offer limited edition luxury boutique houses that amazingly escapes the noise of the city center. The floor plan of Swagat Heights presents the most exciting and dynamic floor plans designed for a lavish lifestyle.",2,Ready to Move,1185,3,Unfurnished,1185,9700000,"Mira Road East, Mumbai, Maharashtra"
"Swagat Heights is one of the popular residential developments in Mira Road, neighborhood of Mumbai. It is among the ongoing projects of its Builder. It has lavish yet thoughtfully designed residences in 2 Blocks.",2,Ready to Move,640,1,Unfurnished,640,5650000,"Mira Road East, Mumbai, Maharashtra"
Aluminium Sliding Windows,2,Ready to Move,1020,2,Unfurnished,1020,8100000,"Mira Road East, Mumbai, Maharashtra"
Mira Road is a township in North of Mumbai . Many projects and new apartments in Mira Road are coming up. It comes under the governance of Mira Bhayandar Municipal Corporation (MBMC). Mira Road is a township in North of Mumbai . Many projects and new apartments in Mira Road are coming up. It comes under the governance of Mira Bhayandar Municipal Corporation (MBMC).,1,Under Construction,274,1,Unfurnished,190,1808400,"Mira Road East, Mumbai, Maharashtra"
<>APPROVED FROM ALL LEADING BANKS,3,Ready to Move,1400,3,Semi-Furnished,1300,4200000,"Dhakauli, Zirakpur, Punjab"
"2bhk flat with gas pipeline connection and fully renovated by replacing new tiles, kitchen, bathroom and paint. Flat is hardly 50 mtr. From main road.",1,Ready to Move,800,2,Unfurnished,630,1851000,"Ganesh Kunj Society, Bharuch, Gujarat"
• Total Project Area: 40 acres,1,Under Construction,661,1,Semi-Furnished,454,1850000,"Madalavari Palem, Podili, Andhra Pradesh"
• Total Project Area: 40 acres,2,Under Construction,1289,2,Semi-Furnished,870,3850000,"Jayaprakash Nagar, Eluru, Andhra Pradesh"
It's a Spacious 2bhk flat at a prime location in Vartak Nagar. Totally Raw flat. Great opportunity for buyers to build their own house as per their own taste. Viviana Mall and Korum Mall within 1km and only 200m to Singhania School. Upcoming Metro station only 500m,2,Ready to Move,1000,2,Unfurnished,720,12500000,"Cadbury Junction, Thane, Maharashtra"
• Total Project Area: 40 acres,1,Under Construction,661,1,Semi-Furnished,454,1850000,"Maddirala Colony, Guntur, Andhra Pradesh"
