description,bathrooms,construction_status,built_up_area,bedrooms,furnishing,carpet_area,price,location
• Total Project Area: 40 acres,1,Under Construction,1288,1,Semi-Furnished,870,1200000,"Bank Colony, Vijayawada, Andhra Pradesh"
• Total Project Area: 40 acres,2,Owner,870,2,Semi-Furnished,5,3450000,"Goodman Peta, Gudivada, Andhra Pradesh"
"Near PRATIK shakmarket , PRATIK society",1,Ready to Move,1250,3,Semi-Furnished,1250,2000000,"Dr Ambedkar Chowk, Ahmedabad, Gujarat"
Wipro circle to Gopanpally X roads on main rd beside petrol pump near Q city,3,New Launch,1280,3,Semi-Furnished,1250,3999999,"Hitech City, Hyderabad, Telangana"
"2 BHk Area 1200, + terrace 600 sqft, 1st floor, first owner,parking Opp Dasmesh Gurudwara, Sec 17,Koparkhairane",2,Ready to Move,1200,2,Semi-Furnished,800,12500000,"Savoli Sector 1, Navi Mumbai, Maharashtra"
1. Airport ~1km,1,Ready to Move,700,1,Unfurnished,650,1600000,"Chinchbhawan, Nagpur, Maharashtra"
2 bhk flat ready possession,2,Ready to Move,1280,2,Unfurnished,768,2021000,"Dindoli Kailas Nagar, Surat, Gujarat"
The size of the Apartment ranges in between 53.88 Sq. mt and 87.79 Sq. mt,2,Under Construction,945,2,Unfurnished,700,7600000,"Baner, Pune, Maharashtra"
Buy 2 BHK Spacious Homes at Handewadi,2,Ready to Move,807,2,Unfurnished,1107,5013000,"Phursungi, Pune, Maharashtra"
Buy 2 BHK Large Homes at Handewadi Toady,2,Ready to Move,815,2,Unfurnished,1105,5012000,"Phursungi, Pune, Maharashtra"
Buy 2 BHK Apartment at Handewadi Today,2,Ready to Move,805,2,Unfurnished,1105,5014000,"Phursungi, Pune, Maharashtra"
Buy 2 BHK Apartments at Handewadi at Best Price,2,Ready to Move,800,2,Unfurnished,1100,5000000,"Phursungi, Pune, Maharashtra"
For More Please call,1,Ready to Move,425,1,Unfurnished,268,3275000,"Kharghar, Navi Mumbai, Maharashtra"
"It's 1BHK available for sell in CGEWHO kendriya Vihar, Sector 11, Kharghar",1,Ready to Move,600,1,Unfurnished,450,5000000,"Kharghar, Navi Mumbai, Maharashtra"
"Raj Heritage in Mira Road, Mira Road And Beyond by ThakRaj Realty is a residential project.",2,Under Construction,725,1,Semi-Furnished,510,6100000,"Mira Road, Mumbai, Maharashtra"
Project Under CIDCO,1,Ready to Move,655,1,Unfurnished,413,4860000,"Kharghar, Navi Mumbai, Maharashtra"
2 BHK Flat for Sale in Vardhaman Township in Sasane Nagar Hadapsar Pune 411028.,2,Ready to Move,850,2,Semi-Furnished,638,3500000,"Hadapsar, Pune, Maharashtra"
"Comfort Homes the name itself defines the comfort within the society and inside the flat. Well planned construction inside the flat. Leaving 2 Air conditioner, 1 Geyser, 1 Chimney. Sufficient plug points. Grills in front door and balcony. Only serious buyers please contact. It will feel as big as 3bhk.",2,Ready to Move,960,2,Furnished,790,3700000,"SUJATHA NAGAR, Visakhapatnam, Andhra Pradesh"
Nivanta @ Taloja Phase 2,2,Under Construction,554,1,Unfurnished,411,4100000,"Taloja, Navi Mumbai, Maharashtra"
4cent1100sq3bhk90%HomeLone7,3,Ready to Move,1100,3,Furnished,200,3300000,"Thirumala, Thiruvananthapuram, Kerala"
Not including furniture,2,Ready to Move,1000,2,Unfurnished,950,3200000,"Ernakulam, Kochi, Kerala"
Large-Nearing posession -2BHK Flat @Marunje-Hinjewadi,2,Under Construction,940,2,Unfurnished,643,4099000,"Marunji, Pune, Maharashtra"
Rera Approved Project,2,Ready to Move,1020,2,Furnished,1020,3570000,"Sri Krishna Medical Hospital, Muzaffarpur, Bihar"
4.500cent2400sq4bhk,4,Ready to Move,2400,4,Furnished,400,6200000,"Thirumala, Thiruvananthapuram, Kerala"
3cent1400sq3bhk,3,Ready to Move,1400,3,Furnished,200,4000000,"Thirumala, Thiruvananthapuram, Kerala"
3.500cent900sq3bhk,3,Ready to Move,900,3,Furnished,400,2800000,"Thirumala, Thiruvananthapuram, Kerala"
4cent1800sq4bhk,4,Ready to Move,1700,4,Furnished,100,5200000,"Thirumala, Thiruvananthapuram, Kerala"
3bhk90%HomeLoan,3,Ready to Move,1300,3,Furnished,100,3900000,"Thirumala, Thiruvananthapuram, Kerala"
4cent1800sq3bhk,4,Ready to Move,1800,3,Furnished,100,5500000,"Vattiyoorkavu, Thiruvananthapuram, Kerala"
4cent1800sq3bhk7,3,Ready to Move,1900,3,Furnished,100,5500000,"Thirumala, Thiruvananthapuram, Kerala"
4cent2000sq4bhk7,4,Ready to Move,200,4,Furnished,200,5800000,"Peyad, Thiruvananthapuram, Kerala"
"“No Brokerage, No Commission, & No Other Charges.”",2,Ready to Move,1200,2,Semi-Furnished,960,5800000,"Viyyur, Thrissur, Kerala"
"“No Brokerage, No Commission, & No Other Charges.”",2,Ready to Move,1130,2,Semi-Furnished,904,5900000,"Punkunnam, Thrissur, Kerala"
High Rise Gated Society Apartments in Punjab,3,Ready to Move,1550,3,Semi-Furnished,853,3540256,"Sector 117, Mohali, Punjab"
Why PAY RENT when you could buy Brand New 1 bhk Bhandup West.,2,Ready to Move,400,1,Semi-Furnished,377,7500000,"Vikhroli West, Mumbai, Maharashtra"
"2 bhk row house at beed bypass road, Aurangabad.",2,Under Construction,900,2,Unfurnished,604,3203000,"Aurangabad Cantonment, Aurangabad, Maharashtra"
Builder floor available for sale in Mohan Garden near Nawada metro station registry and Loan available.,2,Ready to Move,550,2,Unfurnished,549,2600000,"Uttam Nagar, Delhi, Delhi"
Prime location,2,Under Construction,769,1,Semi-Furnished,525,7000000,"Mira Road East, Mumbai, Maharashtra"
"Big 2 BHK  For Sale in Sector 150, Noida, Godrej Palm Retreat",2,Under Construction,1037,2,Unfurnished,1037,6900100,"Sector 145, Noida, Uttar Pradesh"
Blink Homes Private Limited has made 2bhk apartments in sector 125 Kharar. A very peaceful and safe place for living. Quality assured.,2,Under Construction,800,2,Semi-Furnished,748,2390000,"Sunny Enclave, Kharar, Punjab"
"Plot no D-6, Kardhani, Behind Govindam Tower, Kalwar Road,",2,Ready to Move,1150,2,Semi-Furnished,930,1750000,"Kardhani, Jaipur, Rajasthan"
2 BHK Flat for Sale in Suyog Residency in Bhekrai Nagar Hadapsar Pune 411028.,2,Ready to Move,1000,2,Unfurnished,750,4000000,"Hadapsar, Pune, Maharashtra"
"2bhk north facing available for immediate sale ,Vuda approved",2,Ready to Move,900,2,Semi-Furnished,900,2950000,"Kothapalem, Visakhapatnam, Andhra Pradesh"
CMDA Approved Layout.,2,Ready to Move,850,2,Semi-Furnished,812,3600000,"Urapakkam, Chennai, Tamil Nadu"
"GLS South Avenue is located at sector 92 Gurugram Haryana . 2BHK just @23 lakh only . The sceme is under PMAY 2.67 lakh Subcidy 90% loan available. Location near by Sare Home , Raheja Navodhya , DLF projects , School , collage around 3km radios, Propose metro. #DwarkaExpressway #Afordablemainghar #DLFnewtownheight #PMAY",2,Builder,645,3,Under Construction,0,2600000,"IMT Manesar, Gurgaon, Haryana"
2 BHK -Within your Budget,2,Under Construction,1148,2,Unfurnished,850,5697545,"Govind Nagar, Nashik, Maharashtra"
"Flat is equipped with beds,sofa,safety gate, curtains, wallpaper and all kitchen accessories.",2,Ready to Move,1350,3,Furnished,900,3399000,"Sector 1 Noida extension, Greater Noida, Uttar Pradesh"
Vihaan heritage is a gated society with more than 240 flats.,2,Ready to Move,650,1,Semi-Furnished,425,1600000,"Sector 1 Noida extension, Greater Noida, Uttar Pradesh"
"A Rasedance 2 bhk flat available for sale at G.S.T.BHAVAN. with 3 rd floor, lift, security, car parking, CCTV etc.well connected to rest of the city .walking distance G.S.T BHOBAN &Ruby More.",2,Ready to Move,1110,2,Unfurnished,1000,5500000,"Kasba East, Kolkata, West Bengal"
Quality Construction 3 BHK Luxurious Apartments in Nashik,3,Under Construction,1476,3,Unfurnished,1093,6864946,"Karmayogi Nagar, Nashik, Maharashtra"
